"Employee Key","WWI Employee ID","Employee","Is Salesperson","Birthdate"
"0","0","Unknown","False","1990-07-07"
"714","7","Amy Trefl","True","1982-12-17"
"715","19","Jai Shand","False","1995-09-16"
"716","15","Taj Shand","True","1980-11-26"
"717","7","Amy Trefl","True","1975-01-04"
"718","19","Jai Shand","False","1982-10-08"
"719","15","Taj Shand","True","1986-06-11"
"720","15","Taj Shand","True","1967-09-23"
"721","19","Jai Shand","False","1969-06-07"
"722","7","Amy Trefl","True","1961-02-19"
"723","15","Taj Shand","True","1988-05-17"
"724","19","Jai Shand","False","1965-04-16"
"725","7","Amy Trefl","True","1969-10-07"
"726","7","Amy Trefl","True","1976-11-17"
"727","19","Jai Shand","False","1992-04-30"
"728","19","Jai Shand","False","1975-03-16"
"729","19","Jai Shand","False","1994-10-01"
"730","7","Amy Trefl","True","1959-08-04"
"731","19","Jai Shand","False","1975-06-27"
"732","15","Taj Shand","True","1971-03-11"
"733","7","Amy Trefl","True","1992-10-11"
"734","7","Amy Trefl","True","1962-02-25"
"735","15","Taj Shand","True","1966-12-18"
"736","15","Taj Shand","True","1967-11-28"
"737","7","Amy Trefl","True","1979-06-01"
"738","19","Jai Shand","False","1972-03-04"
"739","15","Taj Shand","True","1993-12-31"
"740","7","Amy Trefl","True","1990-10-14"
"741","19","Jai Shand","False","1977-07-22"
"742","19","Jai Shand","False","1977-02-14"
"743","15","Taj Shand","True","1992-11-01"
"744","15","Taj Shand","True","1997-01-23"
"745","15","Taj Shand","True","1969-05-17"
"746","19","Jai Shand","False","1966-08-15"
"747","19","Jai Shand","False","1976-12-18"
"748","19","Jai Shand","False","1965-08-21"
"749","7","Amy Trefl","True","1968-12-25"
"750","19","Jai Shand","False","1986-08-21"
"751","15","Taj Shand","True","1969-01-30"
"752","7","Amy Trefl","True","1968-07-29"
"753","19","Jai Shand","False","1960-06-21"
"754","15","Taj Shand","True","1973-04-08"
"755","7","Amy Trefl","True","1992-12-07"
"756","7","Amy Trefl","True","1977-07-13"
"757","19","Jai Shand","False","1996-02-24"
"758","15","Taj Shand","True","1987-08-28"
"759","7","Amy Trefl","True","1962-09-29"
"760","7","Amy Trefl","True","1959-08-19"
"761","7","Amy Trefl","True","1963-02-25"
"762","7","Amy Trefl","True","1994-03-15"
"763","7","Amy Trefl","True","1996-12-09"
"764","7","Amy Trefl","True","1965-05-28"
"765","19","Jai Shand","False","1965-10-26"
"766","7","Amy Trefl","True","1966-10-13"
"767","19","Jai Shand","False","1990-02-13"
"768","7","Amy Trefl","True","1968-08-10"
"769","7","Amy Trefl","True","1971-08-27"
"770","19","Jai Shand","False","1980-12-28"
"771","4","Isabella Rupp","False","1976-02-03"
"772","8","Anthony Grosse","True","1993-11-24"
"773","13","Hudson Hollinworth","True","1987-10-11"
"774","10","Stella Rosenhain","False","1989-01-30"
"775","4","Isabella Rupp","False","1978-01-23"
"776","8","Anthony Grosse","True","1992-10-17"
"777","13","Hudson Hollinworth","True","1967-09-26"
"778","13","Hudson Hollinworth","True","1969-06-01"
"779","13","Hudson Hollinworth","True","1969-06-10"
"780","10","Stella Rosenhain","False","1978-09-07"
"781","8","Anthony Grosse","True","1960-02-08"
